                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9893,                 3.7166,                 3.9266,                0.00242,                0.40513,                0.00268,                0.00113,                  2.321,                 3.3762,                 3.1696,                 0.0865,                 0.0015,                 0.0015
                      2,                 2.8288,                 3.1801,                 3.2431,                0.00193,                0.42671,                0.00867,                0.00233,                 2.7817,                    inf,                 33.927,               0.072069,              0.0030693,              0.0030693
                      3,                 2.8428,                 2.8413,                 3.1575,                  0.006,                0.78888,                0.00585,                0.00228,                 2.6468,                    inf,                 45.622,               0.057607,              0.0046069,              0.0046069
                      4,                 2.7297,                 2.6346,                 3.0605,                0.01742,                0.24837,                0.01428,                0.00451,                 3.6635,                    inf,                 10.928,               0.043113,              0.0061129,              0.0061129
                      5,                  2.549,                 2.5769,                 2.9338,                0.03935,                0.44546,                0.02337,                0.00719,                 3.2746,                    inf,                 5.2565,               0.028587,              0.0075872,              0.0075872
                      6,                 2.4402,                 2.5688,                 2.8569,                0.21865,                0.19283,                0.07921,                0.02696,                 2.3445,                 55.028,                 3.7056,                0.01403,              0.0090297,              0.0090297
                      7,                 2.3281,                  2.498,                  2.729,                0.14315,                 0.5099,                 0.1015,                 0.0397,                 2.1997,                    inf,                 4.0618,               0.009406,               0.009406,               0.009406
                      8,                  2.291,                 2.4984,                 2.6727,                0.03751,                0.35206,                0.02468,                0.00651,                 2.6949,                    inf,                 4.7577,               0.009307,               0.009307,               0.009307
                      9,                 2.2788,                  2.537,                 2.6332,                0.04016,                 0.4193,                 0.1022,                0.02924,                  2.343,                  29.92,                 3.8756,               0.009208,               0.009208,               0.009208
                     10,                 2.1594,                 2.4335,                 2.5422,                0.21194,                0.37362,                0.16906,                0.04955,                 2.2258,                 3.3849,                 2.9496,               0.009109,               0.009109,               0.009109
                     11,                 2.1125,                 2.3672,                 2.4557,                0.00109,                0.14763,                0.00064,                0.00021,                 2.6946,                 11.292,                 3.2943,                0.00901,                0.00901,                0.00901
                     12,                 2.0332,                 2.2927,                 2.3981,                0.08219,                0.31096,                0.07538,                0.02221,                 2.3546,                 15.373,                 2.9392,               0.008911,               0.008911,               0.008911
                     13,                 1.9697,                 2.1787,                  2.296,                0.27834,                0.43434,                0.26678,                0.08738,                 2.1976,                 6.2501,                 2.7536,               0.008812,               0.008812,               0.008812
                     14,                 1.9975,                 2.2465,                 2.3332,                0.21308,                0.43894,                 0.1973,                0.07227,                 2.4948,                 3.8448,                 3.0755,               0.008713,               0.008713,               0.008713
                     15,                 1.9165,                 2.1751,                 2.2904,                0.16361,                0.37101,                0.16355,                 0.0471,                 2.7319,                 6.3743,                 3.5835,               0.008614,               0.008614,               0.008614
                     16,                 1.8918,                 2.1104,                 2.2382,                0.29983,                0.54367,                0.27609,                0.11963,                 1.9187,                 2.2048,                 2.2155,               0.008515,               0.008515,               0.008515
                     17,                 1.8494,                 2.0844,                 2.1872,                0.11569,                0.39547,                0.10404,                 0.0347,                 2.3115,                 4.0537,                 3.0194,               0.008416,               0.008416,               0.008416
                     18,                 1.8277,                 2.0663,                 2.1844,                0.33049,                0.36327,                0.27606,                0.10205,                 1.9368,                 2.7067,                 2.4146,               0.008317,               0.008317,               0.008317
                     19,                 1.7995,                 2.0362,                 2.1436,                0.34572,                0.58288,                0.36106,                0.16795,                 1.7353,                 2.2145,                 2.2048,               0.008218,               0.008218,               0.008218
                     20,                 1.8095,                 2.0499,                 2.1494,                0.39747,                0.57429,                0.48864,                0.22065,                 1.7017,                 2.1394,                 2.1328,               0.008119,               0.008119,               0.008119
                     21,                 1.7983,                 2.0257,                 2.1535,                   0.47,                0.53104,                0.45508,                0.15122,                 1.9667,                 2.1823,                 2.4266,                0.00802,                0.00802,                0.00802
                     22,                 1.7559,                 1.9895,                 2.1009,                0.45534,                0.58193,                0.47877,                0.19357,                 1.8663,                 2.7756,                 2.2356,               0.007921,               0.007921,               0.007921
                     23,                 1.7543,                 1.9516,                 2.1167,                0.46153,                0.66171,                0.50485,                 0.2381,                 1.7107,                 1.7805,                 2.0865,               0.007822,               0.007822,               0.007822
                     24,                 1.7284,                 1.9061,                 2.0662,                0.34403,                 0.4368,                0.38145,                0.14438,                 1.7682,                 2.6045,                 2.1945,               0.007723,               0.007723,               0.007723
                     25,                 1.6953,                 1.8957,                 2.0665,                0.43672,                 0.6169,                0.42648,                0.17622,                 1.8847,                 2.1616,                 2.3276,               0.007624,               0.007624,               0.007624
                     26,                 1.7457,                  1.906,                  2.094,                0.34278,                0.50532,                0.37353,                0.14804,                 1.9112,                 2.5021,                 2.3982,               0.007525,               0.007525,               0.007525
                     27,                 1.6967,                 1.8845,                 2.0777,                0.27578,                0.51855,                0.40102,                0.17941,                 1.7572,                 2.1667,                 2.2503,               0.007426,               0.007426,               0.007426
                     28,                 1.7427,                  1.869,                 2.0867,                0.50965,                0.68101,                0.56695,                0.27086,                 1.6896,                 1.7976,                 2.0817,               0.007327,               0.007327,               0.007327
                     29,                 1.6668,                 1.7913,                 2.0185,                0.42661,                0.54677,                0.45352,                 0.2102,                 1.9167,                 1.9103,                 2.2773,               0.007228,               0.007228,               0.007228
                     30,                 1.6655,                 1.7697,                 2.0436,                0.49406,                0.73027,                0.59348,                0.28659,                 1.6343,                 1.5982,                 2.0828,               0.007129,               0.007129,               0.007129
                     31,                 1.6573,                 1.7689,                 2.0301,                0.58727,                0.69224,                0.65231,                0.34074,                 1.4301,                 1.5499,                 1.8965,                0.00703,                0.00703,                0.00703
                     32,                  1.617,                 1.7267,                 1.9876,                 0.5321,                0.70337,                0.59546,                0.30468,                 1.4825,                 1.5994,                  1.907,               0.006931,               0.006931,               0.006931
                     33,                 1.6071,                 1.7335,                 1.9488,                0.52124,                 0.4916,                0.49984,                0.19683,                 1.9454,                 1.8966,                 2.5417,               0.006832,               0.006832,               0.006832
                     34,                 1.5956,                 1.6913,                  1.978,                0.43302,                0.53473,                0.42686,                0.15008,                 1.9593,                 2.0075,                 2.4374,               0.006733,               0.006733,               0.006733
                     35,                 1.5932,                 1.6807,                 1.9377,                0.38986,                0.57023,                0.37561,                0.11185,                 2.1554,                 2.2475,                   2.56,               0.006634,               0.006634,               0.006634
                     36,                 1.5984,                  1.677,                 1.9543,                0.33899,                0.62768,                 0.4579,                0.18713,                 1.7172,                 2.1203,                 2.1721,               0.006535,               0.006535,               0.006535
                     37,                 1.5845,                 1.6775,                 1.9444,                0.49387,                0.58301,                0.58956,                0.28473,                 1.5967,                 1.6776,                 2.0976,               0.006436,               0.006436,               0.006436
                     38,                 1.5763,                 1.6149,                 1.9324,                0.50399,                0.31165,                0.36109,                0.14981,                  1.948,                 2.4664,                 2.4764,               0.006337,               0.006337,               0.006337
                     39,                  1.575,                 1.6205,                 1.9358,                0.45617,                0.71798,                0.67346,                0.34572,                  1.541,                 1.6848,                   2.02,               0.006238,               0.006238,               0.006238
                     40,                 1.5653,                  1.588,                  1.924,                0.68595,                0.71185,                0.72768,                0.35227,                 1.6583,                 1.5156,                 2.1156,               0.006139,               0.006139,               0.006139
                     41,                 1.5832,                 1.5882,                 1.9462,                0.35901,                0.69161,                0.50547,                0.25795,                 1.6119,                 1.8521,                 1.9832,                0.00604,                0.00604,                0.00604
                     42,                 1.5777,                 1.6031,                 1.9408,                0.66291,                0.72221,                0.72621,                0.35381,                 1.5546,                  1.453,                 2.0334,               0.005941,               0.005941,               0.005941
                     43,                 1.5499,                 1.5915,                 1.9215,                0.59583,                0.72037,                0.72398,                0.37727,                  1.491,                  1.524,                 1.9645,               0.005842,               0.005842,               0.005842
                     44,                 1.5216,                 1.5425,                 1.9018,                0.60832,                0.63983,                0.68292,                0.34808,                 1.6082,                 1.7321,                 2.1053,               0.005743,               0.005743,               0.005743
                     45,                 1.5551,                 1.5769,                 1.9352,                0.69203,                0.72156,                0.72222,                0.39958,                 1.4043,                 1.4803,                 1.9046,               0.005644,               0.005644,               0.005644
                     46,                 1.5354,                 1.5548,                 1.9178,                0.69293,                0.78422,                0.78282,                0.42545,                 1.4641,                 1.2708,                 1.9729,               0.005545,               0.005545,               0.005545
                     47,                 1.5128,                 1.5098,                  1.892,                0.54523,                0.72502,                0.71026,                0.38561,                 1.4684,                 1.4439,                 1.9956,               0.005446,               0.005446,               0.005446
                     48,                 1.5029,                 1.4562,                 1.8578,                0.76321,                0.76924,                0.81641,                0.43186,                 1.5323,                 1.2893,                 2.0214,               0.005347,               0.005347,               0.005347
                     49,                 1.4956,                 1.4765,                 1.8898,                0.59749,                0.65823,                 0.6064,                0.28064,                 1.6405,                 1.6733,                 2.1445,               0.005248,               0.005248,               0.005248
                     50,                 1.4706,                 1.4617,                 1.8536,                0.70001,                0.72537,                0.79363,                 0.4204,                 1.4471,                 1.3508,                 1.9557,               0.005149,               0.005149,               0.005149
                     51,                  1.459,                 1.3921,                 1.8379,                0.73807,                0.71454,                0.77273,                0.43047,                 1.4516,                 1.3518,                 1.9861,                0.00505,                0.00505,                0.00505
                     52,                 1.4931,                 1.4266,                 1.8576,                0.64957,                0.71723,                0.74859,                0.35645,                 1.7063,                 1.5673,                 2.2043,               0.004951,               0.004951,               0.004951
                     53,                 1.4898,                 1.4502,                 1.8463,                0.68202,                0.66795,                0.72528,                0.39947,                 1.4565,                 1.3949,                 1.9432,               0.004852,               0.004852,               0.004852
                     54,                 1.4906,                 1.4535,                 1.8741,                0.54014,                0.76607,                0.71963,                0.41126,                 1.3353,                 1.4478,                   1.85,               0.004753,               0.004753,               0.004753
                     55,                 1.4706,                 1.3979,                 1.8373,                  0.687,                0.70549,                 0.7779,                0.43567,                 1.4461,                 1.5083,                 1.9018,               0.004654,               0.004654,               0.004654
                     56,                 1.4674,                 1.4012,                 1.8301,                0.70297,                0.69423,                0.75474,                0.40368,                 1.4989,                 1.4237,                 2.0417,               0.004555,               0.004555,               0.004555
                     57,                 1.4399,                 1.3699,                   1.82,                0.65841,                0.73734,                0.73254,                0.40811,                 1.4281,                 1.2939,                 1.9277,               0.004456,               0.004456,               0.004456
                     58,                 1.4749,                 1.4043,                 1.8311,                 0.7566,                0.69637,                 0.7743,                0.39967,                 1.4725,                 1.3531,                 2.0081,               0.004357,               0.004357,               0.004357
                     59,                 1.4326,                  1.365,                 1.8265,                0.60223,                0.78471,                0.72302,                0.41371,                 1.4525,                 1.2161,                 1.9225,               0.004258,               0.004258,               0.004258
                     60,                 1.4399,                 1.3249,                 1.7915,                0.81451,                0.78494,                0.85163,                0.46586,                 1.4696,                 1.1255,                 1.9628,               0.004159,               0.004159,               0.004159
                     61,                  1.391,                 1.3428,                 1.7625,                0.63022,                0.78053,                0.71295,                0.42472,                 1.3362,                  1.278,                 1.8108,                0.00406,                0.00406,                0.00406
                     62,                 1.4285,                 1.3401,                 1.7951,                0.65285,                0.70608,                0.72652,                0.39702,                  1.624,                 1.4579,                 2.0968,               0.003961,               0.003961,               0.003961
                     63,                 1.4227,                 1.3317,                 1.8095,                0.58646,                0.80578,                0.82493,                 0.4896,                 1.3606,                 1.4502,                 1.8488,               0.003862,               0.003862,               0.003862
                     64,                 1.3758,                 1.2643,                 1.7516,                0.78729,                0.73178,                0.81823,                0.42778,                 1.4793,                 1.2524,                 1.9762,               0.003763,               0.003763,               0.003763
                     65,                 1.4325,                 1.3005,                 1.7989,                 0.6922,                0.71956,                0.83561,                0.46128,                 1.4375,                 1.4746,                 1.8901,               0.003664,               0.003664,               0.003664
                     66,                 1.3963,                 1.2754,                 1.7701,                 0.7647,                0.82675,                0.85368,                0.46675,                   1.53,                 1.1006,                 2.0421,               0.003565,               0.003565,               0.003565
                     67,                 1.3865,                 1.2975,                 1.7677,                0.76778,                0.74352,                0.82758,                0.43536,                 1.5837,                 1.2369,                 2.0885,               0.003466,               0.003466,               0.003466
                     68,                 1.3623,                 1.2593,                 1.7447,                0.50814,                 0.6825,                0.71531,                0.34239,                 1.5644,                 1.5714,                  2.062,               0.003367,               0.003367,               0.003367
                     69,                 1.3707,                  1.247,                 1.7411,                0.80572,                0.83119,                0.89112,                0.51484,                 1.4108,                 1.0306,                 1.9117,               0.003268,               0.003268,               0.003268
                     70,                 1.3432,                 1.1957,                 1.7246,                0.79002,                0.71309,                0.81853,                0.49423,                 1.3671,                 1.1594,                 1.8544,               0.003169,               0.003169,               0.003169
                     71,                 1.3461,                 1.1883,                 1.7217,                0.70908,                0.78699,                0.79438,                0.50525,                 1.2592,                 1.1604,                 1.7338,                0.00307,                0.00307,                0.00307
                     72,                 1.3589,                 1.1591,                 1.7266,                0.82971,                0.87063,                0.89589,                0.55962,                 1.2801,                0.96285,                 1.7613,               0.002971,               0.002971,               0.002971
                     73,                 1.3587,                 1.2138,                 1.7314,                0.84105,                0.80979,                0.90046,                0.56997,                 1.2911,                 1.0305,                 1.7682,               0.002872,               0.002872,               0.002872
                     74,                 1.3573,                 1.1803,                 1.7179,                0.84101,                0.83651,                0.89451,                0.56082,                 1.3108,                 1.0186,                 1.7592,               0.002773,               0.002773,               0.002773
                     75,                  1.353,                 1.1768,                 1.7203,                0.75903,                0.81164,                0.85882,                0.51789,                 1.3252,                 1.1038,                 1.7895,               0.002674,               0.002674,               0.002674
                     76,                 1.3231,                  1.169,                 1.7049,                0.79794,                0.80287,                0.86167,                0.51916,                 1.3329,                 1.1127,                 1.8514,               0.002575,               0.002575,               0.002575
                     77,                 1.3378,                 1.1596,                 1.7264,                0.87163,                 0.8024,                0.90012,                0.57846,                 1.2651,                0.99314,                 1.7591,               0.002476,               0.002476,               0.002476
                     78,                 1.3063,                 1.1368,                 1.7019,                0.88022,                0.83657,                0.92049,                0.57782,                 1.2949,                0.91449,                 1.7795,               0.002377,               0.002377,               0.002377
                     79,                 1.3078,                 1.1318,                 1.7041,                0.77681,                0.78799,                 0.8407,                0.54089,                   1.26,                 1.0465,                  1.759,               0.002278,               0.002278,               0.002278
                     80,                 1.2915,                 1.1307,                 1.6967,                0.84606,                0.83032,                0.90574,                0.56259,                 1.3593,                0.98412,                 1.7831,               0.002179,               0.002179,               0.002179
                     81,                 1.3201,                 1.1257,                 1.7141,                0.81034,                0.79268,                  0.882,                0.54695,                 1.3014,                 1.0311,                 1.7991,                0.00208,                0.00208,                0.00208
                     82,                 1.3106,                 1.1046,                 1.6957,                 0.7976,                0.85473,                0.90075,                0.54187,                  1.355,                0.97151,                 1.8323,               0.001981,               0.001981,               0.001981
                     83,                 1.2957,                 1.0867,                 1.6901,                0.81378,                0.79398,                0.85679,                0.46865,                 1.4889,                 1.0451,                 1.9688,               0.001882,               0.001882,               0.001882
                     84,                 1.2992,                 1.0986,                 1.6807,                0.82621,                0.84377,                0.89933,                 0.5547,                 1.2892,                0.93253,                 1.7682,               0.001783,               0.001783,               0.001783
                     85,                  1.263,                 1.1006,                 1.6481,                0.83927,                0.83655,                0.91091,                0.58797,                 1.2589,                0.92362,                 1.7489,               0.001684,               0.001684,               0.001684
                     86,                 1.2735,                 1.0673,                 1.6574,                0.84097,                 0.8553,                0.90073,                0.53402,                 1.3774,                0.95158,                 1.9028,               0.001585,               0.001585,               0.001585
                     87,                 1.2741,                 1.0602,                 1.6491,                0.87055,                0.79592,                0.88574,                0.56501,                 1.2791,                0.95083,                 1.7633,               0.001486,               0.001486,               0.001486
                     88,                 1.2528,                 1.0622,                 1.6407,                0.79352,                0.87392,                0.91126,                0.58624,                 1.2082,                0.95742,                 1.6991,               0.001387,               0.001387,               0.001387
                     89,                 1.2482,                 1.0477,                 1.6337,                0.85594,                0.86362,                0.93187,                0.61174,                 1.2386,                0.84618,                 1.7024,               0.001288,               0.001288,               0.001288
                     90,                 1.2634,                 1.0471,                 1.6441,                0.91954,                0.84763,                0.93998,                0.61257,                 1.2397,                0.83923,                 1.6966,               0.001189,               0.001189,               0.001189
                     91,                 1.1927,                0.95466,                 1.6003,                0.70506,                0.78802,                0.79347,                0.50715,                 1.3072,                  1.225,                 1.7576,                0.00109,                0.00109,                0.00109
                     92,                 1.2038,                0.84048,                  1.609,                0.80299,                0.79552,                0.87537,                0.58591,                 1.2164,                 1.0536,                  1.719,               0.000991,               0.000991,               0.000991
                     93,                 1.1576,                0.79983,                 1.5674,                0.92072,                0.83626,                0.93378,                0.62316,                 1.2189,                0.80864,                 1.7105,               0.000892,               0.000892,               0.000892
                     94,                 1.1357,                0.77323,                 1.5616,                0.87275,                 0.8361,                 0.9115,                0.60659,                 1.2193,                0.84952,                  1.707,               0.000793,               0.000793,               0.000793
                     95,                 1.1057,                 0.7686,                 1.5212,                0.87469,                0.85373,                0.92241,                0.62666,                 1.1622,                0.81681,                 1.6412,               0.000694,               0.000694,               0.000694
                     96,                 1.1099,                0.75437,                  1.525,                0.82272,                0.84357,                0.91126,                0.61822,                 1.1793,                0.82972,                 1.6568,               0.000595,               0.000595,               0.000595
                     97,                 1.0938,                0.73343,                 1.5019,                 0.8943,                0.87155,                 0.9345,                0.61835,                 1.2109,                0.77068,                 1.6823,               0.000496,               0.000496,               0.000496
                     98,                 1.1246,                0.72428,                 1.5372,                0.91364,                0.87565,                0.94069,                0.63423,                 1.1836,                0.76388,                 1.6588,               0.000397,               0.000397,               0.000397
                     99,                 1.0986,                0.72721,                 1.5059,                0.83913,                0.89773,                0.91062,                0.61181,                 1.1847,                0.81666,                 1.6467,               0.000298,               0.000298,               0.000298
                    100,                 1.0837,                0.72169,                 1.4972,                0.90947,                0.84858,                 0.9304,                0.63446,                 1.1569,                0.78404,                 1.6476,               0.000199,               0.000199,               0.000199
